NULL,Processing
INFO,INVOIC_FLACONID07A_UNHUNT_MAX_1,Multiple UNHUNT reporting is not supported on theINVOIC. Please remove additional segments. Critical Error:INVOIC includes an additional UNHUNT at line {0},Only segment and no element: UNHUNT
WARNING,INVOIC_FLACONID07A_DTM-137_REQUIRED,Mandatory DTM segment is missing from the submitted file.DTM is required on allINVOIC.|Mandatory DTM segment is missing.,Found Qualifier segment in message:DTM01
WARNING,INVOIC_FLACONID07A_DTM-137_REQUIRED,Mandatory DTM segment is missing from the submitted file.DTM is required on allINVOIC.|Mandatory DTM segment is missing.,Found Qualifier segment in message:DTM01
,INVOIC_FLACONID07A_BGM0101-M_EQUAL_380,Error line {0}: Document/Message Name Coded at BGM position 01 and sub-position 01 must be 380|Mandatory element BGM0101 is invalid at line {0}.
,INVOIC_FLACONID07A_BGM02-M_LEN_1_35,Error line {0}: Data found at Document/Message Number at BGM position 02 does not meet the Min/Max requirement of 1/35. Document/Message Number must be 1 to 35 characters.|Min/Max Error: The length of BGM02 is invalid at line {0}.
,INVOIC_FLACONID07A_BGM03-M_EQUAL_9,Error line {0}: Message Function Coded at BGM position 03 must be 9|Mandatory element BGM03 is invalid at line {0}.
WARNING,INVOIC_FLACONID07A_DTM0102-M-35_LEN_1_35,Error line {0}: Data found at Date/Time/Period at DTM position 01 and sub-position 02 (DTM01 qualifier 35) does not meet the Min/Max requirement of 1/35. Date/Time/Period must be 1 to 35 characters.|Min/Max Error: The length of DTM0102 is invalid at line {0}.,Found Qualifier segment in message:DTM01
,INVOIC_FLACONID07A_DTM0103-M_EQUAL_102,Error line {0}: Date/Time/Period Format Qual at DTM position 01 and sub-position 03 must be 102|Mandatory element DTM0103 is invalid at line {0}.
WARNING,INVOIC_FLACONID07A_DTM0102-M-137_DBCHECK,Error line {1}: Mandatory elementDTM position 01 and sub-position 02 (DTM01 qualifier 137) must match the data found in DTM0102 (DTM01 qualifier 137) on the ORDERS. Expected Value: {0}.|Mandatory element DTM0102 is invalid at line {1}.,Found Qualifier segment in message:DTM01
ERROR,INVOIC_FLACONID07A_DTM0102_DBCHECK_BLANK,Error line {1}: Element DTM position 01 and sub-position 02 must match the data found in DTM0102 on the ORDERS. Please reference to the Sample INVOIC and resubmit ORDERS.|Element DTM0102 is invalid at line {1}.,Unknown element is O/M
,INVOIC_FLACONID07A_DTM0103-M_EQUAL_102,Error line {0}: Date/Time/Period Format Qual at DTM position 01 and sub-position 03 must be 102|Mandatory element DTM0103 is invalid at line {0}.
INFO,INVOIC_FLACONID07A_DTM_NOT_35_137,Error line {0}: DTM at DTM position TM does not match one of the expected values list in the mapping specs. Expected Value: or 137.|Element DTMTM is invalid at line {0}.,Only segment and no element: DTM
,INVOIC_FLACONID07A_FTX01-M_EQUAL_AAK,Error line {0}: Text Subject Qualifier at FTX position 01 must be AAK|Mandatory element FTX01 is invalid at line {0}.
ERROR,INVOIC_FLACONID07A_FTX02_EQUAL_1,Error line {0}: Text Function Coded at FTX position 02 must be 1|Element FTX02 is invalid at line {0}.,Unknown element is O/M
